iter	RMSE
0	76.47326893
1	75.63646039
2	74.8582265
3	73.9862492
4	73.10931508
5	72.25714862
6	71.36784906
7	70.55058002
8	69.84117372
9	69.17374092
10	68.45540418
11	67.73959867
12	67.05651532
13	66.33657219
14	65.67934669
15	65.08254248
16	64.40856285
17	63.93388518
18	63.40103632
19	62.84158811
20	62.37940821
21	61.91279689
22	61.44324597
23	60.96032895
24	60.61637054
25	60.22167437
26	59.70488732
27	59.33068497
28	58.77217053
29	58.28197071
30	57.86489631
31	57.40188556
32	57.05752896
33	56.69148456
34	56.25281783
35	55.93627189
36	55.56886109
37	55.24097876
38	54.94854348
39	54.57720769
40	54.28824512
41	53.96594423
42	53.69341706
43	53.31945814
44	52.95613762
45	52.64203008
46	52.37447498447	52.09453909448	51.79138157449	51.45285665050	51.18456985151	50.868286
52	50.56508964
53	50.28431701
54	50.02010764
55	49.80789841
56	49.59340502
57	49.41922334
58	49.1743875
59	48.94441977
60	48.71502145
61	48.52548335
62	48.30099497
63	48.08466166
64	47.84116448
65	47.62509269
66	47.39524502
67	47.21359349
68	47.04683685
69	46.86721011770	46.71067406771	46.53194878772	46.35116099773	46.17606147474	46.03039037575	45.84917527676	45.67237997777	45.52392017878	45.42792057979	45.2511068080	45.0417103881	44.87148596882	44.78110603883	44.66776133884	44.493975
85	44.36990267
86	44.270974
87	44.14900006
88	44.06439705
89	43.92701615
90	43.83104308
91	43.70873318
92	43.57788413
93	43.43669477
94	43.37053004
95	43.22612704
96	43.07992871
97	42.93407345
98	42.85405952
99	42.75349045
100	42.58754188
101	42.47820131
102	42.31902688
103	42.18953028
104	42.01650584
105	41.90661439
106	41.80843767
107	41.6636695
108	41.57147993
109	41.44222549
110	41.29108572
111	41.15943415
112	41.05102529
113	40.97778117
114	40.82445147
115	40.69329914
116	40.57745843
117	40.42333819
118	40.32904648
119	40.30197679
120	40.21837136
121	40.12839887
122	40.00206646
