iter	Passed	Remaining
0	4	4112
1	6	3119
2	8	2765
3	10	261644	12	254855	15	248966	17	241977	19	235788	20	225399	22	2209110	24	2177111	25	2139112	27	2109113	29	2090114	31	2086115	33	2074116	35	2069117	37	2050118	39	2039119	41	2020220	43	2008221	44	1989222	46	1987223	48	1978224	50	1976225	52	1961226	54	1962227	56	1949228	58	1946229	59	1939330	61	1930331	64	1936332	65	1928333	67	1921334	69	1917335	71	1915336	73	1908337	75	1904338	76	1890339	78	1882440	80	1875441	81	1867442	83	1861443	85	1857444	87	1856445	89	1852446	91	1850447	93	1854448	95	1849449	97	1854550	99	1856551	102	1862552	104	1860553	106	1859554	108	1856555	109	1850556	112	1855557	114	1851558	115	1849559	117	1846660	119	1841661	121	1835662	123	1831663	124	1826664	127	1828665	128	1825666	131	1824667	133	1823668	134	1820669	137	1826770	139	1830771	141	1825772	143	1826773	145	1817774	146	1810775	148	1806776	150	1809777	152	1806778	154	1802779	156	1796880	157	1788881	159	1787882	161	1782883	163	1782884	165	1776885	166	1771886	168	1766887	170	1762888	171	1760889	173	1757990	175	1752991	177	1748992	178	1744993	180	1741994	182	1736995	183	1731996	185	1728997	187	1724998	189	1721999	191	17201100	193	17171101	194	17151102	196	17121103	198	17091104	200	17061105	201	17031106	203	16991107	205	16961108	207	16941109	209	16931110	211	16911111	213	16901112	214	16871113	216	16841114	218	16821115	220	16791116	222	16771117	223	16741118	225	16721119	227	16691120	229	16681121	231	16641122	233	16611123	234	16581124	236	16551125	238	16521126	240	16501127	241	16471128	243	16451129	245	16421130	247	16401131	249	16371132	250	16341133	252	16321134	254	16281135	256	16271136	258	16251137	259	16231138	261	16201139	263	16171140	265	16151141	266	16121142	268	16111143	270	16101144	272	16071145	274	16041146	276	16021147	277	15991148	279	15951149	281	15931150	283	15921151	285	15911152	287	15901153	289	15881154	290	15861155	292	15831156	294	15791157	295	15761158	297	15741159	299	15701160	301	15691161	302	15661162	304	15651163	306	15631164	308	15611165	310	15571166	311	15541167	313	15531168	315	15511169	317	15481170	318	15461171	320	15441172	322	15411173	324	15401174	326	15381175	328	15351176	329	15331177	331	15311178	333	15301179	335	15261180	337	15241181	338	15221182	340	15211183	342	15191184	344	15161185	346	15141186	347	15121187	349	15101188	351	15091189	353	15071190	355	15051191	357	15031192	359	15011193	360	14991194	362	14971195	364	14951196	366	14951197	368	14941198	370	14911199	372	14892200	374	14862201	375	14852202	377	14822203	379	14802204	381	14792205	383	14762206	385	14752207	386	14722208	388	14692209	390	14672210	392	14652211	393	14632212	395	14612213	397	14592214	399	14572215	401	14552216	401	14502217	403	14482218	405	14462219	407	14432220	408	14412221	410	14392222	412	14382223	414	14362224	416	14342225	418	14322226	420	14302227	421	14282228	423	14272229	425	14242230	427	14232231	429	14202232	430	14182233	432	14162234	434	14142235	436	14122236	437	14102237	439	14072238	441	14062239	443	14042240	445	14022241	447	14002242	449	13982243	450	13962244	452	13942245	454	13932246	456	13912247	458	13892248	459	13872249	461	13852250	463	13832251	465	13822252	467	13792253	469	13772254	470	13752255	472	13732256	474	13712257	476	13692258	477	13672259	479	13642260	481	13632261	483	13602262	485	13592263	486	13572264	488	13542265	490	13522266	491	13502267	494	13492268	495	13472269	497	13452270	499	13442271	501	13422272	503	13402273	505	13382274	506	13362275	508	13342276	510	13312277	512	13302278	513	13272279	515	13262280	517	13242281	519	13212282	520	13192283	522	13172284	524	13152285	526	13142286	528	13122287	530	13102288	532	13082289	533	13062290	535	13042291	537	13032292	539	13012293	541	12992294	542	12972295	544	12962296	546	12942297	548	12912298	550	12892299	552	12883300	553	12863301	555	12843302	557	12823303	559	12803304	561	12783305	562	12763306	564	12743307	566	12723308	568	12713309	570	12693310	572	12673311	573	12653312	575	12633313	577	12613314	579	12593315	581	12583316	583	12563317	584	12543318	586	12523319	588	12503320	590	12493321	592	12473322	593	12453323	595	12423324	597	12413325	599	12393326	601	12373327	602	12343328	604	12323329	606	12303330	607	12283331	609	12263332	611	12243333	613	12223334	615	12203335	616	12193336	618	12163337	620	12153338	622	12123339	623	12103340	625	12083341	627	12063342	628	12043343	630	12023344	632	12003345	634	11983346	636	11973347	638	11953348	640	11933349	641	11923350	643	11893351	645	11873352	647	11863353	648	11843354	650	11823355	652	11803356	654	11783357	656	11763358	657	11743359	659	11723360	661	11713361	663	11693362	665	11673363	667	11653364	668	11633365	670	11623366	672	11603367	674	11573368	675	11553369	677	11543370	679	11523371	681	11503372	683	11483373	685	11473374	687	11453375	689	11443376	691	11423377	693	11403378	694	11383379	696	11363380	698	11343381	700	11323382	702	11303383	703	11293384	705	11273385	707	11253386	709	11233387	711	11223388	713	11203389	715	11183390	716	11163391	718	11143392	720	11123393	722	11103394	723	11083395	725	11063396	727	11043397	729	11033398	731	11013399	732	10994400	734	10974401	736	10964402	738	10944403	740	10924404	742	10904405	744	10884406	745	10864407	747	10844408	749	10824409	751	10804410	752	10784411	754	10774412	756	10754413	758	10734414	760	10714415	762	10694416	763	10674417	765	10654418	767	10634419	768	10614420	770	10604421	772	10584422	774	10564423	776	10544424	777	10524425	779	10504426	781	10484427	783	10464428	785	10454429	787	10434430	788	10414431	790	10394432	792	10384433	794	10364434	796	10344435	798	10324436	800	10304437	801	10284438	803	10264439	805	10254440	807	10234441	809	10214442	810	10194443	812	10174444	814	10154445	816	10144446	818	10124447	819	10104448	821	10084449	823	10064450	825	10044451	827	10045452	828	10453453	830	9454454	832	9455455	834	9456456	837	9457457	838	9458458	840	9459459	842	9460460	844	9461461	846	9462462	848	9463463	849	9464464	851	9465465	853	9466466	855	9467467	857	9468468	858	9469469	860	9470470	862	9471471	864	9472472	866	9473473	867	9474474	869	9475475	871	9476476	873	9477477	875	9478478	876	9479479	878	9480480	880	9481481	882	9482482	884	9483483	886	9484484	888	9485485	889	9486486	891	9487487	893	9488488	895	9489489	897	9490490	899	9491491	900	9492492	902	9493493	904	9494494	905	9495495	907	9496496	908	9497497	910	9498498	912	9499499	913	9500500	915	9501501	917	9502502	919	9503503	920	9504504	922	9505505	924	9506506	925	9507507	927	8508508	929	8509509	931	8510510	933	8511511	935	8512512	937	8513513	938	8514514	940	8515515	942	8516516	943	8517517	945	8518518	947	8519519	949	8520520	951	8521521	952	8522522	954	8523523	955	8524524	957	8525525	959	8526526	961	8527527	962	8528528	964	8529529	966	8530530	968	8531531	970	8532532	971	8533533	973	8534534	975	8535535	977	8536536	978	8537537	980	8538538	982	8539539	984	8540540	985	8541541	987	8542542	989	8543543	990	8544544	992	8545	990	823
546	992	822
547	994	820
548	995	818
549	997	816
550	999	814
551	1000	812
552	1002	810
553	1004	808
554	1006	806
555	1007	804
556	1009	803
557	1011	801
558	1013	799
559	1014	797
560	1016	795
561	1018	793
562	1020	791
563	1021	790
564	1023	788
565	1025	786
566	1027	784
567	1029	782
568	1030	780
569	1032	778
570	1034	777
571	1035	775
572	1037	773
573	1039	771
574	1041	769
575	1043	767
576	1044	765
577	1046	763
578	1048	762
579	1049	760
580	1051	758
581	1053	756
582	1055	754
583	1057	753
584	1058	751
585	1060	749
586	1062	747
587	1063	745
588	1065	743
589	1066	741
590	1068	739
591	1070	737
592	1072	735
593	1074	734
594	1075	732
595	1077	730
596	1079	728
597	1080	726
598	1082	724
599	1084	723
600	1085	720
601	1088	719
602	1089	717
603	1091	715
604	1093	714
605	1095	712
606	1097	710
607	1098	708
608	1100	706
609	1102	704
610	1104	702
611	1105	701
612	1107	699
613	1109	697
614	1111	695
615	1112	693
616	1113	691
617	1115	689
618	1117	687
619	1119	685
620	1120	684
621	1122	682
622	1124	680
623	1125	678
624	1127	676
625	1129	674
626	1130	672
627	1132	671
628	1135	669
629	1139	669
630	1142	667
631	1143	666
632	1145	664
633	1147	662
634	1149	660
635	1150	658
636	1152	656
637	1154	654
638	1155	652
639	1157	651
640	1159	649
641	1160	647
642	1162	645
643	1164	643
644	1166	641
645	1167	640
646	1169	638
647	1171	636
648	1173	634
649	1174	632
650	1176	630
651	1178	628
652	1180	627
653	1182	625
654	1184	623
655	1185	621
656	1187	620
657	1189	618
658	1191	616
659	1192	614
660	1194	612
661	1196	610
662	1197	608
663	1199	607
664	1201	605
665	1203	603
666	1205	601
667	1206	599
668	1208	598
669	1210	596
670	1212	594
671	1213	592
672	1215	590
673	1217	588
674	1219	586
675	1221	585
676	1222	583
677	1225	581
678	1226	580
679	1228	578
680	1230	576
681	1232	574
682	1233	572
683	1235	570
684	1236	568
685	1238	566
686	1240	565
687	1241	563
688	1243	561
689	1245	559
690	1246	557
691	1248	555
692	1250	553
693	1252	552
694	1254	550
695	1255	548
696	1257	546
697	1259	544
698	1261	543
699	1262	541
700	1264	539
701	1266	537
702	1268	535
703	1270	534
704	1271	532
705	1273	530
706	1275	528
707	1277	526
708	1278	524
709	1280	523
710	1282	521
711	1284	519
712	1286	517
713	1287	515
714	1289	514
715	1291	512
716	1292	510
717	1294	508
718	1296	506
719	1298	504
720	1300	503
721	1302	501
722	1303	499
723	1305	497
724	1307	495
725	1309	494
726	1311	492
727	1313	490
728	1315	488
729	1317	487
730	1318	485
731	1320	483
732	1322	481
733	1323	479
734	1325	477
735	1327	476
736	1329	474
737	1331	472
738	1333	470
739	1335	469
740	1336	467
741	1338	465
742	1340	463
743	1342	461
744	1344	460
745	1346	458
746	1347	456
747	1349	454
748	1351	452
749	1353	451
750	1354	449
751	1356	447
752	1358	445
753	1360	443
754	1361	441
755	1363	440
756	1365	438
757	1366	436
758	1368	434
759	1370	432
760	1372	430
761	1374	429
762	1376	427
763	1377	425
764	1379	423
765	1381	421
766	1382	420
767	1384	418
768	1386	416
769	1387	414
770	1389	412
771	1391	410
772	1393	409
773	1395	407
774	1396	405
775	1398	403
776	1400	401
777	1402	400
778	1403	398
779	1405	396
780	1407	394
781	1409	392
782	1410	391
783	1412	389
784	1415	387
785	1417	385
786	1419	384
787	1421	382
788	1422	380
789	1424	378
790	1426	376
791	1428	375
792	1429	373
793	1431	371
794	1433	369
795	1435	367
796	1436	365
797	1438	364
798	1440	362
799	1441	360
800	1443	358
801	1445	356
802	1447	355
803	1449	353
804	1450	351
805	1452	349
806	1454	347
807	1455	345
808	1457	344
809	1459	342
810	1460	340
811	1462	338
812	1464	336
813	1466	335
814	1468	333
815	1469	331
816	1471	329
817	1473	327
818	1475	326
819	1476	324
820	1478	322
821	1480	320
822	1481	318
823	1483	316
824	1485	315
825	1487	313
826	1489	311
827	1490	309
828	1492	307
829	1494	306
830	1495	304
831	1497	302
832	1499	300
833	1500	298
834	1502	296
835	1504	295
836	1506	293
837	1507	291
838	1509	289
839	1510	287
840	1512	285
841	1514	284
842	1515	282
843	1517	280
844	1519	278
845	1520	276
846	1522	274
847	1523	273
848	1525	271
849	1527	269
850	1528	267
851	1530	265
852	1532	264
853	1534	262
854	1536	260
855	1537	258
856	1539	256
857	1541	255
858	1543	253
859	1544	251
860	1546	249
861	1548	247
862	1550	246
863	1551	244
864	1553	242
865	1555	240
866	1557	238
867	1558	237
868	1560	235
869	1562	233
870	1564	231
871	1566	229
872	1567	228
873	1569	226
874	1571	224
875	1573	222
876	1575	220
877	1577	219
878	1579	217
879	1580	215
880	1582	213
881	1584	211
882	1586	210
883	1587	208
884	1589	206
885	1591	204
886	1593	202
887	1595	201
888	1596	199
889	1598	197
890	1601	195
891	1603	194
892	1605	192
893	1607	190
894	1609	188
895	1610	186
896	1612	185
897	1614	183
898	1616	181
899	1617	179
900	1619	177
901	1621	176
902	1623	174
903	1625	172
904	1626	170
905	1627	168
906	1629	167
907	1631	165
908	1632	163
909	1634	161
910	1636	159
911	1638	158
912	1640	156
913	1642	154
914	1643	152
915	1645	150
916	1647	149
917	1649	147
918	1650	145
919	1652	143
920	1654	141
921	1656	140
922	1658	138
923	1659	136
924	1661	134
925	1663	132
926	1665	131
927	1666	129
928	1668	127
929	1670	125
930	1672	123
931	1674	122
932	1675	120
933	1677	118
934	1679	116
935	1680	114
936	1682	113
937	1684	111
938	1686	109
939	1687	107
940	1689	105
941	1691	104
942	1693	102
943	1695	100
944	1697	98
945	1698	96
946	1700	95
947	1702	93
948	1703	91
949	1705	89
950	1707	87
951	1709	86
952	1711	84
953	1713	82
954	1714	80
955	1716	79
956	1718	77
957	1719	75
958	1721	73
959	1723	71
960	1724	69
961	1726	68
962	1728	66
963	1729	64
964	1731	62
965	1733	61
966	1734	59
967	1736	57
968	1737	55
969	1739	53
970	1741	52
971	1742	50
972	1744	48
973	1746	46
974	1747	44
975	1749	43
976	1751	41
977	1753	39
978	1755	37
979	1756	35
980	1758	34
981	1760	32
982	1762	30
983	1764	28
984	1766	26
985	1767	25
986	1769	23
987	1771	21
988	1773	19
989	1774	17
990	1776	16
991	1778	14
992	1780	12
993	1782	10
994	1784	8
995	1785	7
996	1787	5
997	1789	3
998	1790	1
999	1792	0
5	0
