iter	Passed	Remaining
0	26	26473
1	36	18390
2	52	17318
3	62	15555
4	74	14871
5	91	15135
6	99	14116
7	107	13304
8	118	13003
9	126	12495
10	134	12096
11	145	12018
12	160	12178
13	169	11921
14	185	12195
15	194	11983
16	203	11770
17	216	11815
18	223	11514
19	230	11283
20	241	11259
21	251	11180
22	256	10898
23	263	10712
24	272	10622
25	281	10546
26	289	10422
27	296	10302
28	312	10466
29	320	10371
30	330	10318
31	338	10227
32	351	10300
33	359	10207
34	377	10406
35	388	10404
36	396	10307
37	406	10302
38	417	10281
39	424	10193
40	437	10234
41	453	10340
42	467	10405
43	480	10431
44	488	10371
45	497	10321
46	513	10412
47	523	10378
48	530	10305
49	540	10267
50	547	10192
51	554	10104
52	563	10064553	573	10045454	583	10055	55	590	9956	56	607	1057	657	617	1058	658	627	159	6359	643	60	64760	64961	653	61	6562	665	62	6663	676	63	6764	683	64	6865	691	65	6966	704	66	7067	716	67	7168	724	68	7269	737	69	7370	743	70	7471	750	71	7572	759	72	7673	771	73	7774	781	74	7875	788	75	7976	798	76	8077	808	77	8178	816	78	8279	824	79	8380	834	80	8481	845	81	8582	854	82	8683	869	83	8784	878	84	8885	888	85	8986	898	86	9087	908	87	9188	918	88	9289	930	89	9490	943	90	953	9529
91	964	9520
92	973	9495
93	980	9447
94	989	9428
95	1002	9438
96	1010	9406
97	1018	9370
98	1029	9369
99	1044	9400
100	1060	9441
101	1073	9450
102	1082	9426
103	1093	9418
104	1102	9397
105	1109	9353
106	1116	9319
107	1134	9368
108	1140	9319
109	1147	9286
110	1162	9308
111	1173	9300
112	1181	9270
113	1195	9290
114	1204	9268
115	1212	9240
116	1225	9249
117	1118	1237	118	1251	9268
119	1266	9288
120	1275	9262
121	1122	1292	122	1123	1303	123	1124	1312	124	1125	1324	125	1126	1332	126	1127	1339	127	1128	1351	128	1129	1359	129	1130	1366	130	1131	1373	131	1132	1386	132	1133	1401	133	1134	1411	134	1135	1433	135	1136	1441	136	1137	1457	137	1138	1470	138	1139	1486	139	1140	1498	140	1141	1506	141	1142	1520	142	1143	1531	143	1144	1545	144	1145	1559	145	1146	1572	146	1147	1594	147	1148	1608	148	1149	1621	149	1150	1629	150	1151	1647	151	1152	1660	152	1153	1669	153	1154	1685	154	1155	1699	155	1156	1711	156	1157	1723	157	1158	1731	158	1159	1744	159	1160	1754	160	1161	1761	161	1162	1771	162	1163	1789	163	1164	1798	164	1165	1811	165	1166	1825	166	1167	1834	167	1168	1852	168	1169	1863	169	1170	1871	170	1171	1882	171	1172	1889	172	1173	1898	173	1174	1913	174	1175	1924	175	1176	1931	176	1177	1942	177	1960	9052
178	1969	9033
179	1986	9048
180	1994	9026
181	2003	9006
182	2018	9009
183	2025	8984
184	2038	8980
185	2051	8976
186	2060	8958
187	2070	8944
188	2089	8967
189	2098	8947
190	2112	8948
191	2122	8933
192	2130	8906
193	2151	8939
194	2159	8916
195	2167	8892
196	2178	8881
197	2187	8858
198	2195	8838
199	2205	8820
200	2220	8826
201	2229	8806
202	2244	8813
203	2261	8825
204	2278	8835
205	2291	8830
206	2299	8810
207	2313	8809
208	2321	8785
209	2329	8764
210	2343	8761
211	2354	8750
212	2362	8727
213	2381	8747
214	2393	8740
215	2418	8778
216	2426	8753
217	2439	8750
218	2454	8754
219	2463	8732
220	2477	8732
221	2484	8706
222	2494	8692
223	2514	8710
224	2521	8685
225	2532	8671
226	2539	8649
227	2549	8630
228	2555	8603
229	2565	8587
230	2572	8565
231	2581	8546
232	2588	8521
233	2599	8511
234	2610	8498
235	2618	8475
236	2625	8454
237	2636	8440
238	2651	8444
239	2667	8445
240	2687	8462
241	2712	8495
242	2738	8532
243	2749	8519
244	2756	8495
245	2773	8500
246	2782	8481
247	2791	8464
248	2804	8458
249	2813	8440
250	2829	8443
251	2855	8476
252	2876	8492
253	2885	8473
254	2894	8457
255	2907	8448
256	2916	8433
257	2927	8420
258	2947	8432
259	2958	8421
260	2970	8410
261	2979	8392
262	2985	8366
263	2996	8354
